id	type	modified	bibliographicCitation	references	datasetID	institutionCode	collectionCode	datasetName	basisOfRecord	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	sex	lifeStage	occurrenceStatus	preparations	otherCatalogNumbers	associatedOccurrences	eventID	parentEventID	samplingProtocol	samplingEffort	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	fieldNumber	locationID	continent	country	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	footprintWKT	georeferenceRemarks	identifiedBy	dateIdentified	identificationQualifier	typeStatus	scientificNameID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship
475029		2015-08-24 15:31:25			IMIS:dasid:596	Instituto di Biologia Marine per l’Adriatico	Fauna Bentonica		HumanObservation			475029	MarBEF/MacroBEN_475029				1.0			present				fb92		Petersen Dredge	0.2 m²	1934-07_24				1934	7	24			Adriatic Sea				Adriatic, station 166				24	24	44.64899826049805	12.446999549865723	EPSG:4326								urn:lsid:marinespecies.org:taxname:130324	Praxillella gracilis										(M. Sars, 1861)
475030		2015-08-24 15:31:25			IMIS:dasid:596	Instituto di Biologia Marine per l’Adriatico	Fauna Bentonica		HumanObservation			475030	MarBEF/MacroBEN_475030				1.0			present				fb92		Petersen Dredge	0.2 m²	1934-07-24				1934	7	24			Adriatic Sea				Adriatic, station 166				24	24	44.64899826049805	12.446999549865723	EPSG:4326								urn:lsid:marinespecies.org:taxname:131242	Sternaspis scutata										(Ranzani, 1817)
475031		2015-08-24 15:31:25			IMIS:dasid:596	Instituto di Biologia Marine per l’Adriatico	Fauna Bentonica		HumanObservation			475031	MarBEF/MacroBEN_475031				1.0			present				fb92		Petersen Dredge	0.2 m²	1934-07-24				1934	7	24			Adriatic Sea				Adriatic, station 166				24	24	44.64899826049805	12.446999549865723	EPSG:4326								urn:lsid:marinespecies.org:taxname:130303	Maldane glebifex										Grube, 1860
475032		2015-08-24 15:31:25			IMIS:dasid:596	Instituto di Biologia Marine per l’Adriatico	Fauna Bentonica		HumanObservation			475032	MarBEF/MacroBEN_475032				1.0			present				fb92		Petersen Dredge	0.2 m²	1934-07-24				1934	7	24			Adriatic Sea				Adriatic, station 166				24	24	44.64899826049805	12.446999549865723	EPSG:4326								urn:lsid:marinespecies.org:taxname:136041	Golfingia elongata										(Keferstein, 1862)
475033		2015-08-24 15:31:25			IMIS:dasid:596	Instituto di Biologia Marine per l’Adriatico	Fauna Bentonica		HumanObservation			475033	MarBEF/MacroBEN_475033				1.0			present				fb92		Petersen Dredge	0.2 m²	1934-07-24				1934	7	24			Adriatic Sea				Adriatic, station 166				24	24	44.64899826049805	12.446999549865723	EPSG:4326								urn:lsid:marinespecies.org:taxname:125073	Amphiura chiajei										Forbes, 1843
475034		2015-08-24 15:31:25			IMIS:dasid:596	Instituto di Biologia Marine per l’Adriatico	Fauna Bentonica		HumanObservation			475034	MarBEF/MacroBEN_475034				1.0			present				fb92		Petersen Dredge	0.2 m²	1934-07-24				1934	7	24			Adriatic Sea				Adriatic, station 166				24	24	44.64899826049805	12.446999549865723	EPSG:4326								urn:lsid:marinespecies.org:taxname:124929	Ophiura ophiura										(Linnaeus, 1758)
475035		2015-08-24 15:31:25			IMIS:dasid:596	Instituto di Biologia Marine per l’Adriatico	Fauna Bentonica		HumanObservation			475035	MarBEF/MacroBEN_475035				1.0			present				fb92		Petersen Dredge	0.2 m²	1934-07-24				1934	7	24			Adriatic Sea				Adriatic, station 166				24	24	44.64899826049805	12.446999549865723	EPSG:4326								urn:lsid:marinespecies.org:taxname:107218	Anapagurus laevis										(Bell, 1845)
475036		2015-08-24 15:31:25			IMIS:dasid:596	Instituto di Biologia Marine per l’Adriatico	Fauna Bentonica		HumanObservation			475036	MarBEF/MacroBEN_475036				3.0			present				fb93		Petersen Dredge	0.2 m²	1934-07-24				1934	7	24			Adriatic Sea				Adriatic, station 167				19	19	44.500999450683594	12.473999977111816	EPSG:4326								urn:lsid:marinespecies.org:taxname:141872	Turritella communis										Risso, 1826
475037		2015-08-24 15:31:25			IMIS:dasid:596	Instituto di Biologia Marine per l’Adriatico	Fauna Bentonica		HumanObservation			475037	MarBEF/MacroBEN_475037				2.0			present				fb93		Petersen Dredge	0.2 m²	1934-07-24				1934	7	24			Adriatic Sea				Adriatic, station 167				19	19	44.500999450683594	12.473999977111816	EPSG:4326								urn:lsid:marinespecies.org:taxname:138961	Calyptraea chinensis										(Linnaeus, 1758)
475038		2015-08-24 15:31:25			IMIS:dasid:596	Instituto di Biologia Marine per l’Adriatico	Fauna Bentonica		HumanObservation			475038	MarBEF/MacroBEN_475038				1.0			present				fb93		Petersen Dredge	0.2 m²	1934-07-24				1934	7	24			Adriatic Sea				Adriatic, station 167				19	19	44.500999450683594	12.473999977111816	EPSG:4326								urn:lsid:marinespecies.org:taxname:138760	Aporrhais pespelecani										(Linnaeus, 1758)
